"Game ID: ","1"
"Jonathan5","9","Alex2","3"
"Vivien3","8","Jeffrey1","7"
"John4","4","Danny19","9"
"Score","2",,"0"
""
"Game ID: ","29"
"Alex2","3","Khoman 6","6"
"Vivien3","8","Jose15","8"
"Martin16","6","Frank8","9"
"Max14","5","Marcus17","4"
"Joeseph9","7","Jeffrey1","7"
"Jessica10","7","Michael7","8"
"Jonathan5","9","Ryan18","5"
"Karen13","7","John4","4"
"Score","0",,"0"
""
"Game ID: ","30"
"Jessica10","7","Alex2","3"
"Marcus17","4","Jeffrey1","7"
"Jose15","8","Ryan18","5"
"Karen13","7","Sherman12","5"
"Danny19","9","Joeseph9","7"
"Jonathan5","9","Khoman 6","6"
"Frank8","9","Max14","5"
"Michael7","8","Vivien3","8"
"Score","4",,"0"
""
"Game ID: ","31"
"Jeffrey1","7","Khoman 6","6"
"Alex2","3","Danny19","9"
"Joeseph9","7","Michael7","8"
"Marcus17","4","John4","4"
"Karen13","7","Frank8","9"
"Jose15","8","Jonathan5","9"
"Score","0",,"3"
""
"Game ID: ","32"
"Chris20","3","Karen13","7"
"Joeseph9","7","Marcus17","4"
"Max14","5","Khoman 6","6"
"Vivien3","8","Jose15","8"
"Score","0",,"1"
""
"Game ID: ","33"
"Frank8","9","Max14","5"
"Tom11","3","John4","4"
"Danny19","9","Ryan18","5"
"Vivien3","8","Michael7","8"
"Jessica10","7","Jose15","8"
"Marcus17","4","Alex2","3"
"Karen13","7","Jeffrey1","7"
"Score","2",,"0"
""
"Game ID: ","34"
"Jeffrey1","7","Martin16","6"
"Danny19","9","Alex2","3"
"Jose15","8","Jonathan5","9"
"Jessica10","7","Tom11","3"
"Marcus17","4","Vivien3","8"
"Score","2",,"0"
""
"Game ID: ","35"
"John4","4","Marcus17","4"
"Michael7","8","Ryan18","5"
"Chris20","3","Jose15","8"
"Danny19","9","Vivien3","8"
"Joeseph9","7","Jonathan5","9"
"Tom11","3","Karen13","7"
"Frank8","9","Martin16","6"
"Jessica10","7","Khoman 6","6"
"Score","0",,"1"
""
"Game ID: ","36"
"Jose15","8","Sherman12","5"
"Jonathan5","9","Max14","5"
"Khoman 6","6","Karen13","7"
"Michael7","8","Tom11","3"
"Alex2","3","Ryan18","5"
"John4","4","Marcus17","4"
"Score","3",,"0"
""
"Game ID: ","37"
"Vivien3","8","Tom11","3"
"Jeffrey1","7","Joeseph9","7"
"Martin16","6","Chris20","3"
"Jose15","8","Ryan18","5"
"Score","6",,"0"
""
"Game ID: ","38"
"Martin16","6","Vivien3","8"
"Alex2","3","Michael7","8"
"Marcus17","4","Khoman 6","6"
"Sherman12","5","Jeffrey1","7"
"Ryan18","5","Joeseph9","7"
"Jonathan5","9","Jose15","8"
"Tom11","3","Karen13","7"
"Score","0",,"5"
""
"Game ID: ","39"
"Karen13","7","Frank8","9"
"Ryan18","5","Khoman 6","6"
"Sherman12","5","Jose15","8"
"Alex2","3","Jonathan5","9"
"Vivien3","8","Jeffrey1","7"
"Score","0",,"4"
""
"Game ID: ","40"
"Frank8","9","Max14","5"
"Jessica10","7","Martin16","6"
"Michael7","8","Jeffrey1","7"
"John4","4","Chris20","3"
"Danny19","9","Marcus17","4"
"Karen13","7","Vivien3","8"
"Score","4",,"0"
""
"Game ID: ","41"
"Alex2","3","Jose15","8"
"Tom11","3","Martin16","6"
"John4","4","Marcus17","4"
"Danny19","9","Vivien3","8"
"Chris20","3","Joeseph9","7"
"Score","0",,"4"
""
"Game ID: ","42"
"Danny19","9","Martin16","6"
"Vivien3","8","Chris20","3"
"Michael7","8","Tom11","3"
"Khoman 6","6","Jose15","8"
"Score","6",,"0"
""
"Game ID: ","43"
"Joeseph9","7","Jeffrey1","7"
"Ryan18","5","Danny19","9"
"Max14","5","Jonathan5","9"
"Frank8","9","Jose15","8"
"Chris20","3","Khoman 6","6"
"Martin16","6","Marcus17","4"
"Tom11","3","Karen13","7"
"Score","0",,"3"
""
"Game ID: ","44"
"John4","4","Alex2","3"
"Max14","5","Karen13","7"
"Ryan18","5","Joeseph9","7"
"Michael7","8","Chris20","3"
"Vivien3","8","Jeffrey1","7"
"Jonathan5","9","Frank8","9"
"Sherman12","5","Jose15","8"
"Marcus17","4","Jessica10","7"
"Score","0",,"1"
""
"Game ID: ","45"
"John4","4","Sherman12","5"
"Marcus17","4","Joeseph9","7"
"Jonathan5","9","Ryan18","5"
"Jessica10","7","Frank8","9"
"Score","0",,"1"
""
"Game ID: ","46"
"Danny19","9","Frank8","9"
"Khoman 6","6","Ryan18","5"
"Martin16","6","Joeseph9","7"
"Marcus17","4","Jeffrey1","7"
"Max14","5","Michael7","8"
"Vivien3","8","Alex2","3"
"Score","0",,"0"
""
"Game ID: ","47"
"Frank8","9","Khoman 6","6"
"Karen13","7","Jeffrey1","7"
"Marcus17","4","Martin16","6"
"Sherman12","5","Vivien3","8"
"Danny19","9","Ryan18","5"
"Jose15","8","Joeseph9","7"
"Alex2","3","Michael7","8"
"Max14","5","Jessica10","7"
"Score","0",,"1"
""
"Game ID: ","48"
"Frank8","9","Jonathan5","9"
"Khoman 6","6","Sherman12","5"
"Jessica10","7","Vivien3","8"
"Jeffrey1","7","Martin16","6"
"Alex2","3","Tom11","3"
"Karen13","7","Danny19","9"
"Score","0",,"0"
""
"Game ID: ","49"
"Joeseph9","7","Karen13","7"
"Marcus17","4","Jeffrey1","7"
"Max14","5","Khoman 6","6"
"Jessica10","7","John4","4"
"Alex2","3","Tom11","3"
"Michael7","8","Jonathan5","9"
"Chris20","3","Sherman12","5"
"Ryan18","5","Jose15","8"
"Score","0",,"2"
""
"Game ID: ","50"
"Jonathan5","9","Jessica10","7"
"Vivien3","8","Frank8","9"
"Alex2","3","Tom11","3"
"Karen13","7","Martin16","6"
"Score","1",,"0"
""
"Game ID: ","51"
"Chris20","3","Michael7","8"
"Khoman 6","6","Jessica10","7"
"Alex2","3","Martin16","6"
"Vivien3","8","Jeffrey1","7"
"Sherman12","5","Karen13","7"
"Score","0",,"4"
""
"Game ID: ","52"
"Jessica10","7","Danny19","9"
"Marcus17","4","Frank8","9"
"Joeseph9","7","Michael7","8"
"Ryan18","5","Vivien3","8"
"Martin16","6","Jose15","8"
"Score","0",,"5"
""
"Game ID: ","53"
"Vivien3","8","Jessica10","7"
"Jeffrey1","7","Danny19","9"
"Khoman 6","6","Marcus17","4"
"Alex2","3","Jose15","8"
"Ryan18","5","Joeseph9","7"
"Tom11","3","Max14","5"
"Martin16","6","Karen13","7"
"Sherman12","5","Chris20","3"
"Score","0",,"2"
""
"Game ID: ","54"
"Tom11","3","Vivien3","8"
"Danny19","9","Jessica10","7"
"Sherman12","5","Martin16","6"
"Alex2","3","Marcus17","4"
"Joeseph9","7","Khoman 6","6"
"Score","0",,"2"
""
"Game ID: ","55"
"Martin16","6","Jonathan5","9"
"Marcus17","4","Tom11","3"
"Jeffrey1","7","Vivien3","8"
"Danny19","9","Jessica10","7"
"Score","0",,"1"
""
"Game ID: ","56"
"Jeffrey1","7","Khoman 6","6"
"Chris20","3","Ryan18","5"
"Joeseph9","7","Alex2","3"
"Vivien3","8","John4","4"
"Jonathan5","9","Tom11","3"
"Michael7","8","Danny19","9"
"Karen13","7","Jose15","8"
"Score","3",,"0"
""
"Game ID: ","57"
"John4","4","Khoman 6","6"
"Marcus17","4","Alex2","3"
"Chris20","3","Jessica10","7"
"Frank8","9","Max14","5"
"Ryan18","5","Jonathan5","9"
"Score","0",,"2"
""
"Game ID: ","58"
"Frank8","9","Chris20","3"
"Sherman12","5","Khoman 6","6"
"Jonathan5","9","Jeffrey1","7"
"Martin16","6","Tom11","3"
"Danny19","9","Vivien3","8"
"Score","4",,"0"
""
"Game ID: ","59"
"Martin16","6","Jeffrey1","7"
"Alex2","3","Chris20","3"
"Jonathan5","9","Michael7","8"
"Max14","5","Vivien3","8"
"Danny19","9","Sherman12","5"
"Score","0",,"0"
""
"Game ID: ","60"
"Alex2","3","Danny19","9"
"Frank8","9","Karen13","7"
"Jeffrey1","7","Vivien3","8"
"Marcus17","4","Jessica10","7"
"Joeseph9","7","Jose15","8"
"Jonathan5","9","Michael7","8"
"Score","0",,"3"
""
"Game ID: ","61"
"Danny19","9","Ryan18","5"
"Alex2","3","Michael7","8"
"Jonathan5","9","John4","4"
"Tom11","3","Jessica10","7"
"Vivien3","8","Frank8","9"
"Sherman12","5","Jeffrey1","7"
"Score","0",,"1"
""
"Game ID: ","62"
"Sherman12","5","Joeseph9","7"
"Alex2","3","Khoman 6","6"
"Jose15","8","Ryan18","5"
"Tom11","3","Jeffrey1","7"
"Vivien3","8","Danny19","9"
"Chris20","3","Karen13","7"
"Max14","5","Marcus17","4"
"John4","4","Michael7","8"
"Score","0",,"4"
""
"Game ID: ","63"
"Danny19","9","Martin16","6"
"John4","4","Max14","5"
"Jose15","8","Jonathan5","9"
"Michael7","8","Khoman 6","6"
"Frank8","9","Chris20","3"
"Ryan18","5","Karen13","7"
"Score","2",,"0"
""
"Game ID: ","64"
"Michael7","8","Jessica10","7"
"Jonathan5","9","Sherman12","5"
"Jeffrey1","7","John4","4"
"Khoman 6","6","Ryan18","5"
"Martin16","6","Jose15","8"
"Score","3",,"0"
""
"Game ID: ","65"
"Martin16","6","Joeseph9","7"
"Frank8","9","Chris20","3"
"John4","4","Karen13","7"
"Danny19","9","Vivien3","8"
"Alex2","3","Jonathan5","9"
"Max14","5","Marcus17","4"
"Score","0",,"1"
""
"Game ID: ","66"
"Sherman12","5","Marcus17","4"
"Ryan18","5","Chris20","3"
"Frank8","9","Vivien3","8"
"Jessica10","7","Martin16","6"
"Joeseph9","7","Khoman 6","6"
"Danny19","9","Tom11","3"
"Score","4",,"0"
""
"Game ID: ","67"
"Jessica10","7","Jonathan5","9"
"Ryan18","5","Sherman12","5"
"Jeffrey1","7","Chris20","3"
"Khoman 6","6","Marcus17","4"
"Score","2",,"0"
""
"Game ID: ","68"
"Tom11","3","Ryan18","5"
"Danny19","9","Martin16","6"
"Jonathan5","9","Michael7","8"
"Chris20","3","Khoman 6","6"
"Sherman12","5","John4","4"
"Max14","5","Karen13","7"
"Joeseph9","7","Alex2","3"
"Score","1",,"0"
""
"Game ID: ","69"
"Danny19","9","Marcus17","4"
"Jessica10","7","Jonathan5","9"
"John4","4","Vivien3","8"
"Jose15","8","Max14","5"
"Frank8","9","Chris20","3"
"Khoman 6","6","Sherman12","5"
"Michael7","8","Ryan18","5"
"Alex2","3","Martin16","6"
"Score","2",,"0"
""
"Game ID: ","70"
"Sherman12","5","Vivien3","8"
"Jonathan5","9","Michael7","8"
"Frank8","9","Martin16","6"
"Joeseph9","7","Jose15","8"
"Danny19","9","Alex2","3"
"Score","2",,"0"
""
"Game ID: ","71"
"Vivien3","8","Max14","5"
"Jose15","8","Joeseph9","7"
"Tom11","3","Chris20","3"
"Marcus17","4","Jonathan5","9"
"Karen13","7","Jeffrey1","7"
"Michael7","8","Frank8","9"
"Score","0",,"1"
""
"Game ID: ","72"
"Joeseph9","7","Khoman 6","6"
"Jose15","8","Max14","5"
"John4","4","Jessica10","7"
"Tom11","3","Jeffrey1","7"
"Vivien3","8","Sherman12","5"
"Karen13","7","Jonathan5","9"
"Ryan18","5","Frank8","9"
"Score","0",,"2"
""
"Game ID: ","73"
"Karen13","7","Max14","5"
"Jonathan5","9","Frank8","9"
"Michael7","8","Martin16","6"
"Alex2","3","Khoman 6","6"
"Jessica10","7","Marcus17","4"
"Score","2",,"0"
""
"Game ID: ","74"
"Ryan18","5","Alex2","3"
"John4","4","Jonathan5","9"
"Marcus17","4","Jeffrey1","7"
"Joeseph9","7","Vivien3","8"
"Karen13","7","Sherman12","5"
"Jose15","8","Tom11","3"
"Score","0",,"0"
""
"Game ID: ","75"
"Max14","5","John4","4"
"Martin16","6","Joeseph9","7"
"Danny19","9","Jose15","8"
"Michael7","8","Vivien3","8"
"Score","1",,"0"
""
"Game ID: ","76"
"Michael7","8","Martin16","6"
"Frank8","9","Jeffrey1","7"
"Ryan18","5","Sherman12","5"
"Jose15","8","Vivien3","8"
"Chris20","3","Joeseph9","7"
"Score","0",,"0"
""
"Game ID: ","77"
"Max14","5","Martin16","6"
"Joeseph9","7","Sherman12","5"
"John4","4","Khoman 6","6"
"Chris20","3","Ryan18","5"
"Marcus17","4","Jessica10","7"
"Score","0",,"2"
""
"Game ID: ","78"
"Karen13","7","Michael7","8"
"Frank8","9","Jessica10","7"
"Chris20","3","Martin16","6"
"Sherman12","5","Marcus17","4"
"Max14","5","Danny19","9"
"John4","4","Ryan18","5"
"Alex2","3","Joeseph9","7"
"Khoman 6","6","Vivien3","8"
"Score","0",,"3"
""
"Game ID: ","79"
"Michael7","8","Jose15","8"
"Frank8","9","Khoman 6","6"
"Joeseph9","7","Martin16","6"
"Jonathan5","9","Marcus17","4"
"Max14","5","Danny19","9"
"Ryan18","5","Jessica10","7"
"Karen13","7","Sherman12","5"
"Jeffrey1","7","Vivien3","8"
"Score","1",,"0"
""
"Game ID: ","80"
"Joeseph9","7","Khoman 6","6"
"Chris20","3","Danny19","9"
"John4","4","Michael7","8"
"Ryan18","5","Jessica10","7"
"Marcus17","4","Vivien3","8"
"Karen13","7","Max14","5"
"Score","0",,"4"
""
"Game ID: ","81"
"Sherman12","5","Khoman 6","6"
"Jose15","8","Michael7","8"
"Danny19","9","Alex2","3"
"Marcus17","4","Jonathan5","9"
"Jeffrey1","7","Martin16","6"
"Tom11","3","Joeseph9","7"
"Jessica10","7","Max14","5"
"Score","0",,"0"
""
"Game ID: ","82"
"Joeseph9","7","Sherman12","5"
"Jonathan5","9","Marcus17","4"
"Jessica10","7","John4","4"
"Max14","5","Michael7","8"
"Martin16","6","Jose15","8"
"Chris20","3","Vivien3","8"
"Ryan18","5","Jeffrey1","7"
"Frank8","9","Danny19","9"
"Score","0",,"1"
""
"Game ID: ","83"
"Frank8","9","Jose15","8"
"Joeseph9","7","Martin16","6"
"Jonathan5","9","Karen13","7"
"Tom11","3","John4","4"
"Max14","5","Chris20","3"
"Danny19","9","Jeffrey1","7"
"Khoman 6","6","Vivien3","8"
"Score","1",,"0"
""
"Game ID: ","84"
"Danny19","9","Chris20","3"
"Sherman12","5","Marcus17","4"
"Joeseph9","7","Martin16","6"
"John4","4","Jonathan5","9"
"Ryan18","5","Alex2","3"
"Score","2",,"0"
""
"Game ID: ","85"
"Vivien3","8","Frank8","9"
"Martin16","6","Jeffrey1","7"
"Jessica10","7","Danny19","9"
"Jonathan5","9","Joeseph9","7"
"Ryan18","5","Jose15","8"
"Marcus17","4","Karen13","7"
"John4","4","Max14","5"
"Khoman 6","6","Sherman12","5"
"Score","0",,"2"
""
"Game ID: ","86"
"Tom11","3","Alex2","3"
"Max14","5","Frank8","9"
"Sherman12","5","Michael7","8"
"Ryan18","5","Jessica10","7"
"Score","0",,"5"
""
"Game ID: ","87"
"Alex2","3","John4","4"
"Jonathan5","9","Max14","5"
"Danny19","9","Sherman12","5"
"Michael7","8","Khoman 6","6"
"Jessica10","7","Marcus17","4"
"Frank8","9","Jeffrey1","7"
"Joeseph9","7","Chris20","3"
"Score","5",,"0"
""
"Game ID: ","88"
"Sherman12","5","Jessica10","7"
"Frank8","9","Jonathan5","9"
"Danny19","9","John4","4"
"Alex2","3","Michael7","8"
"Score","0",,"1"
""
"Game ID: ","89"
"Danny19","9","Alex2","3"
"Frank8","9","Sherman12","5"
"Khoman 6","6","Jessica10","7"
"Jeffrey1","7","Chris20","3"
"Vivien3","8","Ryan18","5"
"Jose15","8","Marcus17","4"
"Score","7",,"0"
""
"Game ID: ","90"
"Michael7","8","Alex2","3"
"Jose15","8","Tom11","3"
"John4","4","Ryan18","5"
"Martin16","6","Vivien3","8"
"Frank8","9","Sherman12","5"
"Khoman 6","6","Karen13","7"
"Jonathan5","9","Jessica10","7"
"Score","3",,"0"
""
"Game ID: ","91"
"Chris20","3","Karen13","7"
"Martin16","6","Khoman 6","6"
"Frank8","9","Jonathan5","9"
"Vivien3","8","Tom11","3"
"Score","1",,"0"
""
"Game ID: ","92"
"Ryan18","5","Tom11","3"
"Jose15","8","Jessica10","7"
"Max14","5","Chris20","3"
"Khoman 6","6","Danny19","9"
"Marcus17","4","Joeseph9","7"
"Jeffrey1","7","Michael7","8"
"Score","0",,"1"
""
"Game ID: ","93"
"Marcus17","4","Ryan18","5"
"Sherman12","5","Tom11","3"
"Danny19","9","Karen13","7"
"Michael7","8","Jose15","8"
"Jeffrey1","7","Max14","5"
"Frank8","9","Joeseph9","7"
"John4","4","Chris20","3"
"Alex2","3","Jessica10","7"
"Score","1",,"0"
""
"Game ID: ","94"
"Jessica10","7","Karen13","7"
"Danny19","9","Max14","5"
"Marcus17","4","Khoman 6","6"
"Jonathan5","9","Martin16","6"
"Michael7","8","Ryan18","5"
"Score","3",,"0"
""
"Game ID: ","95"
"Khoman 6","6","Jose15","8"
"Martin16","6","Danny19","9"
"Karen13","7","Alex2","3"
"Vivien3","8","Frank8","9"
"Jeffrey1","7","Marcus17","4"
"Jonathan5","9","Joeseph9","7"
"Score","1",,"0"
""
"Game ID: ","96"
"Joeseph9","7","Jessica10","7"
"Max14","5","Marcus17","4"
"Jose15","8","Tom11","3"
"Martin16","6","Jonathan5","9"
"Sherman12","5","Vivien3","8"
"Score","0",,"0"
""
"Game ID: ","97"
"Michael7","8","Joeseph9","7"
"Jessica10","7","Ryan18","5"
"Tom11","3","Vivien3","8"
"Jeffrey1","7","Karen13","7"
"Marcus17","4","Max14","5"
"John4","4","Sherman12","5"
"Martin16","6","Chris20","3"
"Danny19","9","Jose15","8"
"Score","0",,"0"
""
"Game ID: ","98"
"Tom11","3","Jeffrey1","7"
"Jose15","8","Khoman 6","6"
"Sherman12","5","Frank8","9"
"Karen13","7","Michael7","8"
"Marcus17","4","Max14","5"
"Score","0",,"3"
""
"Game ID: ","99"
"Danny19","9","Sherman12","5"
"Martin16","6","Alex2","3"
"John4","4","Karen13","7"
"Khoman 6","6","Frank8","9"
"Max14","5","Jonathan5","9"
"Ryan18","5","Tom11","3"
"Joeseph9","7","Marcus17","4"
"Score","1",,"0"
""
"Game ID: ","100"
"Marcus17","4","John4","4"
"Vivien3","8","Jonathan5","9"
"Joeseph9","7","Michael7","8"
"Martin16","6","Max14","5"
"Sherman12","5","Danny19","9"
"Jose15","8","Jeffrey1","7"
"Alex2","3","Tom11","3"
"Khoman 6","6","Jessica10","7"
"Score","0",,"1"
""
"Game ID: ","101"
"Ryan18","5","Chris20","3"
"Frank8","9","Jessica10","7"
"Jeffrey1","7","Jonathan5","9"
"John4","4","Tom11","3"
"Khoman 6","6","Vivien3","8"
"Joeseph9","7","Michael7","8"
"Danny19","9","Max14","5"
"Marcus17","4","Jose15","8"
"Score","0",,"0"
""
"Game ID: ","102"
"Martin16","6","Alex2","3"
"Tom11","3","Karen13","7"
"Vivien3","8","Max14","5"
"Marcus17","4","Jeffrey1","7"
"John4","4","Joeseph9","7"
"Sherman12","5","Chris20","3"
"Score","0",,"1"
""
"Game ID: ","103"
"Danny19","9","Michael7","8"
"Martin16","6","Max14","5"
"Jeffrey1","7","John4","4"
"Joeseph9","7","Khoman 6","6"
"Vivien3","8","Alex2","3"
"Karen13","7","Chris20","3"
"Tom11","3","Jessica10","7"
"Frank8","9","Sherman12","5"
"Score","4",,"0"
""
"Game ID: ","104"
"Jose15","8","Sherman12","5"
"Karen13","7","Frank8","9"
"Max14","5","Jeffrey1","7"
"Chris20","3","Joeseph9","7"
"Martin16","6","Jonathan5","9"
"Jessica10","7","Khoman 6","6"
"Vivien3","8","Ryan18","5"
"Score","0",,"1"
""
"Game ID: ","105"
"Martin16","6","Jeffrey1","7"
"Frank8","9","Ryan18","5"
"Michael7","8","Joeseph9","7"
"Karen13","7","Khoman 6","6"
"Jose15","8","Danny19","9"
"Score","2",,"0"
""
"Game ID: ","106"
"Joeseph9","7","Vivien3","8"
"Tom11","3","Frank8","9"
"Jonathan5","9","Max14","5"
"Marcus17","4","Michael7","8"
"Chris20","3","Ryan18","5"
"Score","0",,"4"
""
"Game ID: ","107"
"Ryan18","5","Karen13","7"
"Jeffrey1","7","Danny19","9"
"Khoman 6","6","Michael7","8"
"Frank8","9","Chris20","3"
"Joeseph9","7","Max14","5"
"Score","1",,"0"
""
"Game ID: ","108"
"Max14","5","Jonathan5","9"
"Jeffrey1","7","Michael7","8"
"Joeseph9","7","Karen13","7"
"Sherman12","5","John4","4"
"Frank8","9","Khoman 6","6"
